transform,n,sigma,honest_mean,honest_std,attacker_mean,attacker_std,bkw_mean,bkw_std,lin_dim,time_mean,time_std,runs
cubic,16,1.0,0.8450000000000001,0.027838821814150105,0.5266666666666667,0.0464578662158878,0.5625,0.0,48.0,0.0037186145782470334,7.571394817796895e-05,3
cubic,16,2.0,0.8316666666666667,0.035118845842842465,0.465,0.050744457825461095,0.625,0.125,48.0,0.004048983256022066,6.931067711812852e-05,3
cubic,16,3.0,0.7566666666666667,0.04536885862938738,0.47,0.07365459931328121,0.5833333333333334,0.036084391824351615,48.0,0.003923654556274366,0.00021231987700396233,3
cubic,32,1.0,0.8516666666666666,0.02020725942163696,0.5066666666666667,0.028431203515386607,0.625,0.125,96.0,0.003870805104573533,0.0002750460149000292,3
cubic,32,2.0,0.8216666666666667,0.017559422921421194,0.5183333333333334,0.011547005383792535,0.5833333333333334,0.036084391824351615,96.0,0.0039734045664469005,0.00015509624886200828,3
cubic,32,3.0,0.815,0.029999999999999943,0.49833333333333335,0.05965176722724427,0.6041666666666666,0.09547032697824667,96.0,0.004081567128499333,0.00027859517873711877,3
cubic,64,1.0,0.8516666666666666,0.03403429642777027,0.47833333333333333,0.02753785273643053,0.625,0.10825317547305482,192.0,0.005069653193155867,0.00033132500181162777,3
cubic,64,2.0,0.8166666666666668,0.017559422921421194,0.5266666666666667,0.011547005383792535,0.5208333333333334,0.036084391824351615,192.0,0.0048445065816243,0.00019060612347151403,3
cubic,64,3.0,0.7966666666666667,0.042524502740576904,0.5083333333333333,0.022546248764114478,0.5416666666666666,0.036084391824351594,192.0,0.0050907135009765,0.00031777145187607606,3
eo_lwe,16,1.0,0.8416666666666667,0.027537852736430453,0.52,0.04444097208657796,0.5833333333333334,0.036084391824351615,64.0,0.003920475641886334,0.00017591904061775197,3
eo_lwe,16,2.0,0.8116666666666666,0.03547299442298793,0.47000000000000003,0.03968626966596885,0.6041666666666666,0.09547032697824666,64.0,0.003919601440429633,0.00040964162765418896,3
eo_lwe,16,3.0,0.7766666666666667,0.03511884584284251,0.51,0.025980762113533184,0.6041666666666666,0.09547032697824667,64.0,0.0039616425832112,0.00042674243920882765,3
eo_lwe,32,1.0,0.8416666666666667,0.025166114784235853,0.5416666666666666,0.007637626158259758,0.5416666666666666,0.07216878364870322,128.0,0.0039794445037841,0.00016152819144279912,3
eo_lwe,32,2.0,0.8083333333333332,0.011547005383792478,0.51,0.022912878474779245,0.6666666666666666,0.036084391824351615,128.0,0.004118680953979433,0.000126141004293187,3
eo_lwe,32,3.0,0.7816666666666667,0.020207259421636942,0.4666666666666666,0.0490747728811182,0.6666666666666666,0.036084391824351594,128.0,0.0040458043416340675,7.317909944284781e-05,3
eo_lwe,64,1.0,0.8516666666666666,0.007637626158259719,0.51,0.0,0.6875,0.125,256.0,0.0050562222798665,9.817703453639315e-05,3
eo_lwe,64,2.0,0.8066666666666666,0.052993710318615474,0.5166666666666667,0.05751811308912458,0.6041666666666666,0.13010412496663332,256.0,0.0051212310791015,0.00037998558956004445,3
eo_lwe,64,3.0,0.7783333333333333,0.03055050463303897,0.48833333333333334,0.02081665999466133,0.6041666666666666,0.036084391824351594,256.0,0.005065202713012601,0.00020476353106856047,3
quadratic,16,1.0,0.8583333333333334,0.03214550253664321,0.5,0.015000000000000013,0.5833333333333334,0.09547032697824667,152.0,0.0038070678710937,3.879781662482736e-05,3
quadratic,16,2.0,0.8016666666666667,0.017559422921421212,0.49833333333333335,0.015275252316519486,0.6666666666666666,0.07216878364870323,152.0,0.004304091135660767,0.0009267904679103547,3
quadratic,16,3.0,0.7883333333333334,0.03617089069035114,0.5183333333333333,0.06448514040717697,0.5625,0.0625,152.0,0.0039576689402262,0.0002274849771466195,3
quadratic,32,1.0,0.8416666666666667,0.02081665999466133,0.5166666666666667,0.040722639076235384,0.6041666666666666,0.036084391824351594,560.0,0.003936449686686133,0.00010752501701269819,3
quadratic,32,2.0,0.7600000000000001,0.03500000000000006,0.49666666666666665,0.053463383107818147,0.6041666666666666,0.07216878364870322,560.0,0.003918409347534134,0.00015451804922812621,3
quadratic,32,3.0,0.7916666666666666,0.025658007197234402,0.47833333333333333,0.04536885862938731,0.625,0.16535945694153692,560.0,0.0053843657175699335,0.0010022311245538212,3
quadratic,64,1.0,0.8483333333333333,0.029297326385411604,0.5233333333333333,0.007637626158259752,0.5625,0.0625,2144.0,0.004895925521850533,0.00011658083427117172,3
quadratic,64,2.0,0.775,0.030000000000000027,0.4683333333333333,0.017559422921421233,0.6041666666666666,0.036084391824351615,2144.0,0.0048048496246337665,0.00015557483680534435,3
quadratic,64,3.0,0.775,0.07262919523166972,0.505,0.008660254037844426,0.6041666666666666,0.07216878364870323,2144.0,0.005186239878336533,0.0006396228984426136,3
