n,sigma,metric,transform_a,transform_b,t_stat,p_value,mean_a,mean_b,count_a,count_b
16,1.0,attacker_success_regression,cubic,eo_lwe,0.7081551239136944,0.5423061861340999,0.49499999999999994,0.47333333333333333,3,3
16,1.0,attacker_success_regression,cubic,quadratic,-0.18898223650461632,0.8605578331023447,0.49499999999999994,0.5016666666666667,3,3
16,1.0,attacker_success_regression,eo_lwe,quadratic,-1.315499495308034,0.28649238409976463,0.47333333333333333,0.5016666666666667,3,3
16,2.0,attacker_success_regression,cubic,eo_lwe,0.8219949365267828,0.4595249198371712,0.5266666666666667,0.5100000000000001,3,3
16,2.0,attacker_success_regression,cubic,quadratic,0.5494422557947591,0.6124880640803935,0.5266666666666667,0.5133333333333333,3,3
16,2.0,attacker_success_regression,eo_lwe,quadratic,-0.14990633779916562,0.8889790776581402,0.5100000000000001,0.5133333333333333,3,3
16,3.0,attacker_success_regression,cubic,eo_lwe,0.6749192649753583,0.555131253764305,0.515,0.4883333333333333,3,3
16,3.0,attacker_success_regression,cubic,quadratic,-0.4385290096535161,0.6995264202479902,0.515,0.5316666666666667,3,3
16,3.0,attacker_success_regression,eo_lwe,quadratic,-2.5495097567963994,0.07337873667872737,0.4883333333333333,0.5316666666666667,3,3
32,1.0,attacker_success_regression,cubic,eo_lwe,2.386235036005218,0.08299927160662544,0.51,0.47333333333333333,3,3
32,1.0,attacker_success_regression,cubic,quadratic,0.5237849266164982,0.6447900988525073,0.51,0.4883333333333333,3,3
32,1.0,attacker_success_regression,eo_lwe,quadratic,-0.3714697545358471,0.7430515243402842,0.47333333333333333,0.4883333333333333,3,3
32,2.0,attacker_success_regression,cubic,eo_lwe,0.3801429606348536,0.7389445347543603,0.5066666666666667,0.49833333333333335,3,3
32,2.0,attacker_success_regression,cubic,quadratic,0.32547227745206037,0.7640008780467077,0.5066666666666667,0.49833333333333335,3,3
32,2.0,attacker_success_regression,eo_lwe,quadratic,0.0,1.0,0.49833333333333335,0.49833333333333335,3,3
32,3.0,attacker_success_regression,cubic,eo_lwe,2.3904572186687867,0.07597160980434702,0.505,0.4716666666666667,3,3
32,3.0,attacker_success_regression,cubic,quadratic,0.38475479695051845,0.7304830580035084,0.505,0.49333333333333335,3,3
32,3.0,attacker_success_regression,eo_lwe,quadratic,-0.7233393492970541,0.5330015936581554,0.4716666666666667,0.49333333333333335,3,3
64,1.0,attacker_success_regression,cubic,eo_lwe,-0.4290581651605184,0.6936849615922965,0.4816666666666667,0.49666666666666676,3,3
64,1.0,attacker_success_regression,cubic,quadratic,-1.4966629547095784,0.25000358202229084,0.4816666666666667,0.5283333333333334,3,3
64,1.0,attacker_success_regression,eo_lwe,quadratic,-1.4836507379417576,0.23242433250746378,0.49666666666666676,0.5283333333333334,3,3
64,2.0,attacker_success_regression,cubic,eo_lwe,-0.9053574604251903,0.42782847955296294,0.48666666666666664,0.5033333333333334,3,3
64,2.0,attacker_success_regression,cubic,quadratic,-0.33541019662496846,0.7549772775288368,0.48666666666666664,0.49166666666666664,3,3
64,2.0,attacker_success_regression,eo_lwe,quadratic,0.5916079783099664,0.5886184960399946,0.5033333333333334,0.49166666666666664,3,3
64,3.0,attacker_success_regression,cubic,eo_lwe,-1.4000000000000026,0.28971876152792714,0.4666666666666666,0.49,3,3
64,3.0,attacker_success_regression,cubic,quadratic,-2.002271437415749,0.15595591766416844,0.4666666666666666,0.5016666666666667,3,3
64,3.0,attacker_success_regression,eo_lwe,quadratic,-1.7500000000000056,0.182349635393765,0.49,0.5016666666666667,3,3
